ticker,datetime,date,time,headline,neg,neu,pos,compound
AAPL,2020-11-29 15:02:00,2020-11-29,03:02PM,"Dow Jones Futures: Stock Market Rally Flashes Mixed Signals; Why Apple, Nio, Zoom Video Are Important",0.0,0.893,0.107,0.2023
AAPL,2020-11-29 8:45:00,2020-11-29,08:45AM,3 Reasons to Sell This Popular Robinhood Stock,0.0,0.682,0.318,0.4215
AAPL,2020-11-29 8:00:00,2020-11-29,08:00AM,Dont Let Dazzle Brands Deceive You,0.351,0.649,0.0,-0.4019
AAPL,2020-11-29 7:00:00,2020-11-29,07:00AM,"A Giant Fund Sold Alibaba, Apple, and Intel Stock. Heres What It Bought.",0.0,1.0,0.0,0.0
AAPL,2020-11-28 16:11:00,2020-11-28,04:11PM,"Barron's Picks And Pans This Week: Apple, Ford, Royal Dutch Shell, Tesla And A Hair Salon Chain",0.0,1.0,0.0,0.0
AAPL,2020-11-28 7:47:00,2020-11-28,07:47AM,Should Amazon Start Paying a Dividend?,0.0,0.702,0.298,0.1779
AAPL,2020-11-27 17:31:00,2020-11-27,05:31PM,Apples New MacBooks Have Delighted Critics. Why Investors Should Care Too.,0.132,0.479,0.389,0.6486
AAPL,2020-11-27 17:25:00,2020-11-27,05:25PM,Tesla Storms the S&P 500. Heres the Bull Case.,0.0,1.0,0.0,0.0
AAPL,2020-11-27 15:18:00,2020-11-27,03:18PM,Margrethe Vestager Could Be the Most Powerful Woman in Tech. Heres What Shes Planning Next.,0.0,0.819,0.181,0.4754
AAPL,2020-11-27 13:13:00,2020-11-27,01:13PM,Dow Jones Stocks To Buy And Watch In November 2020: Salesforce Dives On Slack Talks,0.0,1.0,0.0,0.0
AAPL,2020-11-27 12:06:00,2020-11-27,12:06PM,"Dow Jones Rallies Near Record Highs, As Tesla Races To More All-Time Highs; Snowflake Surges Past Buy Zone",0.0,1.0,0.0,0.0
AAPL,2020-11-27 11:54:00,2020-11-27,11:54AM,"Dow Jones Barely Higher as Disney Ramps Up Layoffs, Apple Moves Some Production Out of China",0.0,1.0,0.0,0.0
AAPL,2020-11-27 10:31:00,2020-11-27,10:31AM,"Hot Mutual Fund Loves Facebook, Amazon, Apple, Netflix, Google",0.0,0.565,0.435,0.6597
AAPL,2020-11-27 8:00:00,2020-11-27,08:00AM,Here's One Way To Buy Apple Stock Ahead Of A Potential Breakout,0.0,1.0,0.0,0.0
